"sample","PC1","PC2","PC3","PC4","PC5","PC6"
"GSM776024",-3.71394787356904,-0.0519516269953649,-0.858240077881211,0.179475282213391,0.0791046238071233,-0.0561192825227986
"GSM776025",0.805061373341368,-1.24478188574138,0.67163561096903,0.591118398832272,-0.329911735967826,0.0632254337741439
"GSM776026",0.202766337190598,1.71808896508541,0.257603492975312,0.718200639778813,0.199216901167807,0.17816360172501
"GSM776027",0.1206211655547,0.105590856233651,-0.922845284176454,1.27059816841821,0.142043959598587,0.249234441363318
"GSM776028",2.22317858014925,-0.237704743683035,-0.447672704028782,-0.633696895437398,-0.561348926242706,-0.275607049554229
"GSM776029",0.478557964689167,3.60583904010402,1.68738281113381,-2.75659173971953,0.443613322183211,0.454361416716652
"GSM776030",-1.21310407653379,-1.3092217269528,-0.0335407345168933,0.272296460545629,-0.105683724553252,0.563747134843658
"GSM776031",0.363673202530049,-1.72914052695559,-0.229870687620453,-0.421586544580135,0.689567732051648,0.585704374026672
"GSM776032",3.19656476821505,0.542257639046152,0.525640051115696,0.364429154768341,-0.30283195535882,-0.102935248226854
"GSM776033",-0.599754239976797,0.233680720007824,-1.70980179907902,0.155284179818553,-0.0209555075722328,-0.0142183807831832
"GSM776034",1.08365884302197,2.92750505100499,2.68174179818419,0.11977588004877,0.222552398260476,-0.804262261360064
"GSM776035",1.45801461935908,0.0889007728042948,-0.17845497077172,-0.406689258935204,-0.0806093468251165,0.395817120889675
"GSM776036",1.42963985232339,0.222136250089794,-0.00523907790161057,1.10589331096007,-0.36267861857798,-0.0620849423658044
"GSM776037",2.8989062136653,-0.0828633917574044,0.694243309457555,-0.715215081754103,0.340513173752292,0.0724459075174084
"GSM776038",-0.262035011895538,1.36456050435172,0.202101872345419,-0.0866262141624369,-0.160995060848991,0.254167697579794
"GSM776039",-1.62122329288806,-1.05267483209505,-0.906045747891119,0.3664563705675,-0.388362853098117,-0.364662866831068
"GSM776040",1.44048443769318,-0.332450615827338,-0.278426164280748,0.63566553395228,-0.306716359364674,-0.281140223408001
"GSM776041",-1.37711879122727,1.516257941638,-1.57836774474935,-0.304023170582249,0.570996161000872,0.839223652371565
"GSM776042",0.268534809839831,-1.39559117062461,-0.274134712859104,0.322981183604294,-0.235336783401973,-0.079847006088075
"GSM776043",-2.79396990959694,1.12238977090475,-1.40387226847139,-0.119050655589741,1.10500190448385,0.49824977636322
"GSM776044",1.79258287299288,0.656402620409462,-0.191468036304563,-0.132772648043333,0.375454916193426,0.0391020309210984
"GSM776045",0.217604882783463,1.78008354985014,0.30011943385765,0.701315960234997,0.530438615431411,-0.000688625073028387
"GSM776046",0.62509959566383,0.561322033733542,-1.46249400215342,0.453256793272353,0.0995487746464213,0.171986235314197
"GSM776047",-0.657848965972177,-1.07396003518733,-0.444626968710374,-0.498841631057701,1.17092258800105,-0.714153094175961
"GSM776048",1.31425753189095,1.22461242655203,0.464589167738463,-0.0575278424606044,1.02589415905974,0.0240524943868975
"GSM776049",-0.296355495305604,-3.15476017997843,0.639284796836332,-0.529949642994309,0.250710424269162,-0.179964311132869
"GSM776050",-0.49392687137641,-0.340450496382598,-0.112650706031875,0.818693512337277,-0.0477519135429424,0.775662069264766
"GSM776051",0.497856877077235,0.211078101217013,0.205723313833236,1.26143307434624,0.307066077500974,0.0357306829289709
"GSM776052",1.64410224467169,-0.203568844006631,-1.06900248467531,-0.0400592235558442,-0.41462993656484,0.2111502840438
