"sample","Macrophage-rich program","T cell-inflamed program","Immune-inflamed / antigen-presentation program","Stromal / fibrotic program","Immune-cold / exclusion-associated program","Proliferative / cycling program"
"GSM5482934",0.369479571304477,0.137442338353448,0.541375021831109,0.470818269788823,0.330379684228726,0.539251644554937
"GSM5482935",0.447497517320669,0.426900416841083,0.589989465277484,0.554509085700609,0.38732843831371,0.491247588844903
"GSM5482936",0.203158574093916,0.120507185844471,-0.033846086584636,0.167245548217693,0.22633232640332,0.23273130363455
"GSM5482937",0.366601741172732,0.317521045043208,0.38894068135927,0.552159269153457,0.3803382350986,0.451031764089575
"GSM5482938",0.375671741636875,0.400276792559744,0.582448774112017,0.539100699869266,0.391137374798721,0.48050433743649
"GSM5482939",0.41801331440701,0.321677592420205,0.567679749467726,0.437536990544201,0.37811727043848,0.416798589896832
"GSM5482940",0.380390422202091,0.423724035841266,0.642534089913147,0.517263072649061,0.387215400644705,0.459186551698921
"GSM5482941",0.432637965824739,0.477624430140267,0.576001683116801,0.640231088240669,0.433139752071603,0.34256247763363
"GSM5482942",0.493094018107312,0.376265609965748,0.563987419087322,0.695786479206429,0.471389872858922,0.51517776420135
"GSM5482943",0.39083443954307,0.443045632142076,0.551069451129998,0.460515002004182,0.349960072445164,0.380209949746156
"GSM5482944",0.439755742566359,0.249060736346871,0.483033093498013,0.484931267481697,0.320226931881737,0.388086592132826
"GSM5482945",0.532914221621032,0.54102052088767,0.649847944685542,0.493543105454215,0.39191400406508,0.321246631700958
"GSM5482946",0.520706605083941,0.567506758829945,0.595492406937875,0.387115596879103,0.400249900398442,0.447773106277394
"GSM5482947",0.516877538958782,0.395878102478373,0.603422302902644,0.519150922095619,0.391538315891042,0.530797146472051
"GSM5482948",0.411957959040161,0.187117924311459,0.495931979136406,0.551980791005826,0.35249495091137,0.337791261792759
"GSM5482949",0.53151245374733,0.373070211885118,0.555774302677404,0.519082638228722,0.439718083036417,0.48169244628852
"GSM5482950",0.352428690133941,0.286509118661297,0.532799331644749,0.568174118160329,0.418946914141533,0.494593449172278
"GSM5482951",0.596350263733681,0.572374689727199,0.618172007243699,0.682694748628793,0.490739418715838,0.405968892393656
"GSM5482952",0.384585359585493,0.112075794271986,0.472298470748294,0.46294313808568,0.299644206293554,0.587979975789438
"GSM5482953",0.561524540897567,0.489240489126219,0.682329754935931,0.458216030951034,0.40080461133356,0.459860462565477
"GSM5482954",0.551692547245486,0.255567510213526,0.564184950404018,0.708721821152091,0.464585422683969,0.316612082521107
"GSM5482955",0.530030206175914,0.573686728191755,0.670116689261097,0.380599834699862,0.363165472566251,0.228280463627571
"GSM5482956",0.474214384169768,0.51613656258371,0.623329880174295,0.41286446393347,0.347063267412485,0.369377875265902
"GSM5482957",0.499528219956312,0.461782561037705,0.631081355695644,0.488123022657942,0.367841548054394,0.41217652596175
"GSM5482958",0.356114941537612,0.273758398477181,0.514128145381247,0.472765672544358,0.34237447706192,0.551829222977285
