"capture_area_id","role_family","program_id","program_name","observed_set_size","replicate_count","mean_expression_smd","median_expression_smd","sd_expression_smd","mean_abs_expression_smd","median_abs_expression_smd","p90_abs_expression_smd","p95_abs_expression_smd","max_abs_expression_smd","prop_abs_expression_smd_le_0_05","prop_abs_expression_smd_le_0_10","prop_abs_expression_smd_le_0_20","mean_detection_smd","median_detection_smd","sd_detection_smd","mean_abs_detection_smd","median_abs_detection_smd","p90_abs_detection_smd","p95_abs_detection_smd","max_abs_detection_smd","prop_abs_detection_smd_le_0_05","prop_abs_detection_smd_le_0_10","prop_abs_detection_smd_le_0_20","median_abs_expression_pooled_smd","p95_abs_expression_pooled_smd","max_abs_expression_pooled_smd","median_abs_detection_pooled_smd","p95_abs_detection_pooled_smd","max_abs_detection_pooled_smd","mean_matching_distance","median_matching_distance","max_matching_distance","pool_50_total","pool_100_total","pool_200_total","complete_replicates","noncomplete_replicates"
"GSM8500535_Cap.area2_tonsil_V1","CONTEXT_ONLY","stromal_fibrotic","Stromal / fibrotic program",22,1000,-0.0195216825543134,-0.0195139498630198,0.0124140667530694,0.0201715887542125,0.0195378850119132,0.0355389445331863,0.039134314428082,0.055147332959754,0.996,1,1,0.0335913419126588,0.0340856032816137,0.00905438490538577,0.0335992294902777,0.0340856032816137,0.0448304156501979,0.0470457786497879,0.0581105208248528,0.979,1,1,0.0150727572521786,0.0305189410146124,0.0430461601751868,0.0369393349744294,0.0507436027744204,0.0628218697201238,0.0708524383998659,0.0708026092665696,0.286897024886916,22000,0,0,1000,0
"GSM8500535_Cap.area2_tonsil_V1","CONTEXT_ONLY","t_cell_inflamed","T cell-inflamed program",22,1000,-0.0167357678792087,-0.0169011725199664,0.0116476191239574,0.0177450637683997,0.0170083098069638,0.0317510882907949,0.0351492196471926,0.0459608095040044,1,1,1,0.0266140551393811,0.0266406958352163,0.00890381346338764,0.0266282205849007,0.0266406958352163,0.0377517171646776,0.0402910342450431,0.0510277980650369,0.999,1,1,0.0125328745222088,0.0261056512908204,0.0339999131411877,0.0292975527037561,0.0441566940875277,0.0558145044339143,0.0631048379482788,0.0633848908116117,0.27293291008619,22000,0,0,1000,0
"GSM8500536_Cap.area3_DLBCL_V1","PRIMARY_DLBCL","antigen_presentation","Immune-inflamed / antigen-presentation program",19,1000,-0.392945864256094,-0.400516195635216,0.0839218496870118,0.392945864256094,0.400516195635216,0.499620707040695,0.518125085310508,0.580271754335713,0,0.002,0.018,-0.0393665517227274,-0.039456717072387,0.0104140726496539,0.0393665517227274,0.039456717072387,0.052688969717956,0.0561170533115073,0.0754628467201929,0.852,1,1,0.202026793084171,0.269357882754221,0.305473755555518,0.0496869983168056,0.0709802707037067,0.0958710808732195,0.474123471840906,0.48255219270184,2.57222903174102,19000,0,0,1000,0
"GSM8500536_Cap.area3_DLBCL_V1","PRIMARY_DLBCL","immune_cold_exclusion","Immune-cold / exclusion-associated program",21,1000,-0.0277885225220249,-0.0280318738822345,0.0118678464770303,0.027896689066178,0.0280318738822345,0.0429598087444635,0.0463341975500237,0.0591283179048217,0.976,1,1,0.077081872341509,0.0783204760573202,0.00739461535718773,0.077081872341509,0.0783204760573202,0.0853788205200249,0.0874148814227283,0.0944732258854325,0.001,1,1,0.0194050108984209,0.0321443573960765,0.0411613117994778,0.0832829252974525,0.0927855644221839,0.100058297725594,0.108733024074497,0.10915304777149,0.670078235883833,21000,0,0,1000,0
"GSM8500536_Cap.area3_DLBCL_V1","PRIMARY_DLBCL","macrophage_rich","Macrophage-rich program",22,1000,-0.0797849955294123,-0.0890294987518814,0.0364689837899692,0.0813003495555072,0.0890294987518814,0.116853197006534,0.125426810743544,0.143991401737465,0.187,0.684,1,0.0184108956162487,0.0185281542145998,0.0072599575432234,0.0184321446882151,0.0185281542145998,0.0274812692931235,0.0299300952697383,0.0404250637409454,1,1,1,0.0494786773321745,0.0704168499386501,0.0814926473804099,0.0180159551004874,0.0290341391932442,0.0390778589011692,0.128509048560844,0.133777577966327,1.87447701921788,22000,0,0,1000,0
"GSM8500536_Cap.area3_DLBCL_V1","PRIMARY_DLBCL","proliferative_cycling","Proliferative / cycling program",21,1000,-0.00522192355802189,-0.00506317117331985,0.00448986357693443,0.00576290332762793,0.00514405226769098,0.0109662755666473,0.0125029756882612,0.0209051453000108,1,1,1,0.00795326109813997,0.00800850621730008,0.0032862622779247,0.00797253580801889,0.00800850621730008,0.0122163654162196,0.013173314040491,0.0173743863697352,1,1,1,0.00588358005509423,0.0143825054544348,0.0241141611630748,0.0141632658644124,0.0232260697550994,0.0305910249381782,0.0268031753995448,0.0268378542247537,0.0717903273865943,21000,0,0,1000,0
"GSM8500536_Cap.area3_DLBCL_V1","PRIMARY_DLBCL","stromal_fibrotic","Stromal / fibrotic program",22,1000,-0.0783120213813592,-0.0814753965236425,0.0271739645721635,0.0783972004692216,0.0814753965236425,0.110926970796253,0.118030554492672,0.169141889049219,0.153,0.772,1,0.157917401883717,0.160793282379852,0.0156773841417321,0.157917401883717,0.160793282379852,0.174138736114843,0.176989221378628,0.189427702529688,0,0.008,1,0.0539880855441934,0.0789839198825123,0.114334557005452,0.193001069456043,0.212200165645516,0.226151589476384,0.227377409110464,0.227981482645894,1.00531680595251,22000,0,0,1000,0
"GSM8500536_Cap.area3_DLBCL_V1","PRIMARY_DLBCL","t_cell_inflamed","T cell-inflamed program",22,1000,-0.0462623787707926,-0.0561098807213066,0.0322326361992351,0.0517604215478094,0.0562215673237962,0.077281753068588,0.0815238008700791,0.0963094649832729,0.401,1,1,0.0139500157459381,0.0139932912949427,0.00586950353823492,0.0139982148603985,0.0139932912949427,0.021262028717594,0.0235877655578177,0.0304483653176996,1,1,1,0.0380168326626109,0.056007079127099,0.066582166053259,0.019854252501882,0.0331574928853795,0.0427412389974481,0.0899007494227261,0.0949793365891168,1.51651802373096,22000,0,0,1000,0
"GSM8500537_Cap.area4_DLBCL_V2","EXPLORATORY_ANTIGEN","antigen_presentation","Immune-inflamed / antigen-presentation program",13,1000,-0.265719926761836,-0.282611786714481,0.10305555728773,0.266289392163056,0.282611786714481,0.387977170152231,0.406309492483691,0.474816000145997,0.026,0.057,0.285,0.0199764653139694,0.0205939841977985,0.0147201660336094,0.0214288673235981,0.0208194657766063,0.0389481847127707,0.0426986949736105,0.0566710368070804,0.986,1,1,0.220264981668065,0.33481664313184,0.397419342965234,0.101161483170964,0.208028001537107,0.28182607470899,0.36381853545727,0.375811805402387,3.01853074928648,13000,0,0,1000,0
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_DLBCL","immune_cold_exclusion","Immune-cold / exclusion-associated program",22,1000,-0.0335405628983235,-0.0338024141506288,0.0181584411692305,0.0340320383722924,0.0338024141506288,0.0570152963011769,0.0639621580156036,0.0839258819878952,0.81,1,1,0.062986748498392,0.0633774055828396,0.0169581844991065,0.062986748498392,0.0633774055828396,0.0842071205221191,0.0898919894181267,0.108456639406653,0.227,0.994,1,0.0285257684384559,0.053940457070331,0.0715154620527262,0.078169263272045,0.110652300639048,0.13330761152742,0.117033131000869,0.117892722248425,0.485552649302593,22000,0,0,1000,0
