"capture_area_id","role_family","program_id","endpoint","seed","permutations","empirical_p","status"
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_DLBCL","proliferative_cycling","DEPTH_ADJUSTED_GEARY",24890805,9999,1e-04,"COMPLETE"
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_DLBCL","macrophage_rich","DEPTH_ADJUSTED_MORAN",25380805,9999,1e-04,"COMPLETE"
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_DLBCL","macrophage_rich","DEPTH_ADJUSTED_GEARY",25390805,9999,1e-04,"COMPLETE"
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_DLBCL","t_cell_inflamed","DEPTH_ADJUSTED_MORAN",25480805,9999,1e-04,"COMPLETE"
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_DLBCL","t_cell_inflamed","DEPTH_ADJUSTED_GEARY",25490805,9999,1e-04,"COMPLETE"
"GSM8500538_Cap.area5_DLBCL_V2","EXPLORATORY_ANTIGEN","antigen_presentation","DEPTH_ADJUSTED_MORAN",25580805,9999,1e-04,"COMPLETE"
"GSM8500538_Cap.area5_DLBCL_V2","EXPLORATORY_ANTIGEN","antigen_presentation","DEPTH_ADJUSTED_GEARY",25590805,9999,1e-04,"COMPLETE"
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_DLBCL","stromal_fibrotic","DEPTH_ADJUSTED_MORAN",25680805,9999,1e-04,"COMPLETE"
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_DLBCL","stromal_fibrotic","DEPTH_ADJUSTED_GEARY",25690805,9999,1e-04,"COMPLETE"
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_DLBCL","immune_cold_exclusion","DEPTH_ADJUSTED_MORAN",25780805,9999,1e-04,"COMPLETE"
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_DLBCL","immune_cold_exclusion","DEPTH_ADJUSTED_GEARY",25790805,9999,1e-04,"COMPLETE"
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_DLBCL","proliferative_cycling","DEPTH_ADJUSTED_MORAN",25880805,9999,1e-04,"COMPLETE"
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_DLBCL","proliferative_cycling","DEPTH_ADJUSTED_GEARY",25890805,9999,1e-04,"COMPLETE"
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_DLBCL","macrophage_rich","DEPTH_ADJUSTED_MORAN",26380805,9999,1e-04,"COMPLETE"
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_DLBCL","macrophage_rich","DEPTH_ADJUSTED_GEARY",26390805,9999,1e-04,"COMPLETE"
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_DLBCL","t_cell_inflamed","DEPTH_ADJUSTED_MORAN",26480805,9999,1e-04,"COMPLETE"
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_DLBCL","t_cell_inflamed","DEPTH_ADJUSTED_GEARY",26490805,9999,1e-04,"COMPLETE"
"GSM8500539_Cap.area6_DLBCL_V2","EXPLORATORY_ANTIGEN","antigen_presentation","DEPTH_ADJUSTED_MORAN",26580805,9999,1e-04,"COMPLETE"
"GSM8500539_Cap.area6_DLBCL_V2","EXPLORATORY_ANTIGEN","antigen_presentation","DEPTH_ADJUSTED_GEARY",26590805,9999,1e-04,"COMPLETE"
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_DLBCL","stromal_fibrotic","DEPTH_ADJUSTED_MORAN",26680805,9999,1e-04,"COMPLETE"
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_DLBCL","stromal_fibrotic","DEPTH_ADJUSTED_GEARY",26690805,9999,1e-04,"COMPLETE"
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_DLBCL","immune_cold_exclusion","DEPTH_ADJUSTED_MORAN",26780805,9999,1e-04,"COMPLETE"
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_DLBCL","immune_cold_exclusion","DEPTH_ADJUSTED_GEARY",26790805,9999,1e-04,"COMPLETE"
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_DLBCL","proliferative_cycling","DEPTH_ADJUSTED_MORAN",26880805,9999,1e-04,"COMPLETE"
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_DLBCL","proliferative_cycling","DEPTH_ADJUSTED_GEARY",26890805,9999,1e-04,"COMPLETE"
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_DLBCL","macrophage_rich","DEPTH_ADJUSTED_MORAN",27380805,9999,1e-04,"COMPLETE"
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_DLBCL","macrophage_rich","DEPTH_ADJUSTED_GEARY",27390805,9999,1e-04,"COMPLETE"
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_DLBCL","t_cell_inflamed","DEPTH_ADJUSTED_MORAN",27480805,9999,1e-04,"COMPLETE"
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_DLBCL","t_cell_inflamed","DEPTH_ADJUSTED_GEARY",27490805,9999,1e-04,"COMPLETE"
"GSM8500540_Cap.area7_DLBCL_V2","EXPLORATORY_ANTIGEN","antigen_presentation","DEPTH_ADJUSTED_MORAN",27580805,9999,1e-04,"COMPLETE"
"GSM8500540_Cap.area7_DLBCL_V2","EXPLORATORY_ANTIGEN","antigen_presentation","DEPTH_ADJUSTED_GEARY",27590805,9999,1e-04,"COMPLETE"
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_DLBCL","stromal_fibrotic","DEPTH_ADJUSTED_MORAN",27680805,9999,1e-04,"COMPLETE"
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_DLBCL","stromal_fibrotic","DEPTH_ADJUSTED_GEARY",27690805,9999,1e-04,"COMPLETE"
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_DLBCL","immune_cold_exclusion","DEPTH_ADJUSTED_MORAN",27780805,9999,1e-04,"COMPLETE"
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_DLBCL","immune_cold_exclusion","DEPTH_ADJUSTED_GEARY",27790805,9999,1e-04,"COMPLETE"
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_DLBCL","proliferative_cycling","DEPTH_ADJUSTED_MORAN",27880805,9999,1e-04,"COMPLETE"
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_DLBCL","proliferative_cycling","DEPTH_ADJUSTED_GEARY",27890805,9999,1e-04,"COMPLETE"
"GSM8500541_Cap.area8_LN_V2","CONTEXT_ONLY","macrophage_rich","DEPTH_ADJUSTED_MORAN",28380805,9999,1e-04,"COMPLETE"
"GSM8500541_Cap.area8_LN_V2","CONTEXT_ONLY","macrophage_rich","DEPTH_ADJUSTED_GEARY",28390805,9999,1e-04,"COMPLETE"
"GSM8500541_Cap.area8_LN_V2","CONTEXT_ONLY","t_cell_inflamed","DEPTH_ADJUSTED_MORAN",28480805,9999,1e-04,"COMPLETE"
"GSM8500541_Cap.area8_LN_V2","CONTEXT_ONLY","t_cell_inflamed","DEPTH_ADJUSTED_GEARY",28490805,9999,1e-04,"COMPLETE"
"GSM8500541_Cap.area8_LN_V2","EXPLORATORY_ANTIGEN","antigen_presentation","DEPTH_ADJUSTED_MORAN",28580805,9999,1e-04,"COMPLETE"
"GSM8500541_Cap.area8_LN_V2","EXPLORATORY_ANTIGEN","antigen_presentation","DEPTH_ADJUSTED_GEARY",28590805,9999,1e-04,"COMPLETE"
"GSM8500541_Cap.area8_LN_V2","CONTEXT_ONLY","stromal_fibrotic","DEPTH_ADJUSTED_MORAN",28680805,9999,1e-04,"COMPLETE"
"GSM8500541_Cap.area8_LN_V2","CONTEXT_ONLY","stromal_fibrotic","DEPTH_ADJUSTED_GEARY",28690805,9999,1e-04,"COMPLETE"
"GSM8500541_Cap.area8_LN_V2","CONTEXT_ONLY","immune_cold_exclusion","DEPTH_ADJUSTED_MORAN",28780805,9999,1e-04,"COMPLETE"
"GSM8500541_Cap.area8_LN_V2","CONTEXT_ONLY","immune_cold_exclusion","DEPTH_ADJUSTED_GEARY",28790805,9999,1e-04,"COMPLETE"
"GSM8500541_Cap.area8_LN_V2","CONTEXT_ONLY","proliferative_cycling","DEPTH_ADJUSTED_MORAN",28880805,9999,1e-04,"COMPLETE"
"GSM8500541_Cap.area8_LN_V2","CONTEXT_ONLY","proliferative_cycling","DEPTH_ADJUSTED_GEARY",28890805,9999,1e-04,"COMPLETE"
"GSM8500542_Cap.area9_tonsil_V2","CONTEXT_ONLY","macrophage_rich","DEPTH_ADJUSTED_MORAN",29380805,9999,1e-04,"COMPLETE"
"GSM8500542_Cap.area9_tonsil_V2","CONTEXT_ONLY","macrophage_rich","DEPTH_ADJUSTED_GEARY",29390805,9999,1e-04,"COMPLETE"
"GSM8500542_Cap.area9_tonsil_V2","CONTEXT_ONLY","t_cell_inflamed","DEPTH_ADJUSTED_MORAN",29480805,9999,1e-04,"COMPLETE"
"GSM8500542_Cap.area9_tonsil_V2","CONTEXT_ONLY","t_cell_inflamed","DEPTH_ADJUSTED_GEARY",29490805,9999,1e-04,"COMPLETE"
"GSM8500542_Cap.area9_tonsil_V2","EXPLORATORY_ANTIGEN","antigen_presentation","DEPTH_ADJUSTED_MORAN",29580805,9999,1e-04,"COMPLETE"
"GSM8500542_Cap.area9_tonsil_V2","EXPLORATORY_ANTIGEN","antigen_presentation","DEPTH_ADJUSTED_GEARY",29590805,9999,1e-04,"COMPLETE"
"GSM8500542_Cap.area9_tonsil_V2","CONTEXT_ONLY","stromal_fibrotic","DEPTH_ADJUSTED_MORAN",29680805,9999,1e-04,"COMPLETE"
"GSM8500542_Cap.area9_tonsil_V2","CONTEXT_ONLY","stromal_fibrotic","DEPTH_ADJUSTED_GEARY",29690805,9999,1e-04,"COMPLETE"
"GSM8500542_Cap.area9_tonsil_V2","CONTEXT_ONLY","immune_cold_exclusion","DEPTH_ADJUSTED_MORAN",29780805,9999,1e-04,"COMPLETE"
"GSM8500542_Cap.area9_tonsil_V2","CONTEXT_ONLY","immune_cold_exclusion","DEPTH_ADJUSTED_GEARY",29790805,9999,1e-04,"COMPLETE"
"GSM8500542_Cap.area9_tonsil_V2","CONTEXT_ONLY","proliferative_cycling","DEPTH_ADJUSTED_MORAN",29880805,9999,1e-04,"COMPLETE"
"GSM8500542_Cap.area9_tonsil_V2","CONTEXT_ONLY","proliferative_cycling","DEPTH_ADJUSTED_GEARY",29890805,9999,1e-04,"COMPLETE"
