"endpoint_type","role_family","family_label","expected_test_count","observed_valid_test_count","capture_area_id","program_id","raw_p","BH_FDR","evaluability","exclusion_failure_reason"
"MATCHED_NULL_MORAN","EXPLORATORY_ANTIGEN","06P_MATCHED_NULL_MORAN_EXPLORATORY_ANTIGEN_BH",6,6,"GSM8500542_Cap.area9_tonsil_V2","antigen_presentation",0.022977022977023,0.0275724275724276,"EVALUABLE",""
"MATCHED_NULL_MORAN","CONTEXT_ONLY","06P_MATCHED_NULL_MORAN_CONTEXT_ONLY_BH",22,22,"GSM8500534_Cap.area1_LN_V1","macrophage_rich",0.000999000999000999,0.00183150183150183,"EVALUABLE",""
"MATCHED_NULL_MORAN","CONTEXT_ONLY","06P_MATCHED_NULL_MORAN_CONTEXT_ONLY_BH",22,22,"GSM8500534_Cap.area1_LN_V1","t_cell_inflamed",0.000999000999000999,0.00183150183150183,"EVALUABLE",""
"MATCHED_NULL_MORAN","CONTEXT_ONLY","06P_MATCHED_NULL_MORAN_CONTEXT_ONLY_BH",22,22,"GSM8500534_Cap.area1_LN_V1","antigen_presentation",0.000999000999000999,0.00183150183150183,"EVALUABLE",""
"MATCHED_NULL_MORAN","CONTEXT_ONLY","06P_MATCHED_NULL_MORAN_CONTEXT_ONLY_BH",22,22,"GSM8500534_Cap.area1_LN_V1","stromal_fibrotic",0.00899100899100899,0.0141287284144427,"EVALUABLE",""
"MATCHED_NULL_MORAN","CONTEXT_ONLY","06P_MATCHED_NULL_MORAN_CONTEXT_ONLY_BH",22,22,"GSM8500534_Cap.area1_LN_V1","immune_cold_exclusion",0.0709290709290709,0.0866910866910867,"EVALUABLE",""
"MATCHED_NULL_MORAN","CONTEXT_ONLY","06P_MATCHED_NULL_MORAN_CONTEXT_ONLY_BH",22,22,"GSM8500534_Cap.area1_LN_V1","proliferative_cycling",0.000999000999000999,0.00183150183150183,"EVALUABLE",""
"MATCHED_NULL_MORAN","CONTEXT_ONLY","06P_MATCHED_NULL_MORAN_CONTEXT_ONLY_BH",22,22,"GSM8500535_Cap.area2_tonsil_V1","macrophage_rich",0.013986013986014,0.0205128205128205,"EVALUABLE",""
"MATCHED_NULL_MORAN","CONTEXT_ONLY","06P_MATCHED_NULL_MORAN_CONTEXT_ONLY_BH",22,22,"GSM8500535_Cap.area2_tonsil_V1","t_cell_inflamed",0.000999000999000999,0.00183150183150183,"EVALUABLE",""
"MATCHED_NULL_MORAN","CONTEXT_ONLY","06P_MATCHED_NULL_MORAN_CONTEXT_ONLY_BH",22,22,"GSM8500535_Cap.area2_tonsil_V1","antigen_presentation",0.002997002997003,0.00507185122569738,"EVALUABLE",""
"MATCHED_NULL_MORAN","CONTEXT_ONLY","06P_MATCHED_NULL_MORAN_CONTEXT_ONLY_BH",22,22,"GSM8500535_Cap.area2_tonsil_V1","stromal_fibrotic",0.016983016983017,0.021978021978022,"EVALUABLE",""
"MATCHED_NULL_MORAN","CONTEXT_ONLY","06P_MATCHED_NULL_MORAN_CONTEXT_ONLY_BH",22,22,"GSM8500535_Cap.area2_tonsil_V1","immune_cold_exclusion",0.016983016983017,0.021978021978022,"EVALUABLE",""
"MATCHED_NULL_MORAN","CONTEXT_ONLY","06P_MATCHED_NULL_MORAN_CONTEXT_ONLY_BH",22,22,"GSM8500535_Cap.area2_tonsil_V1","proliferative_cycling",0.000999000999000999,0.00183150183150183,"EVALUABLE",""
"MATCHED_NULL_MORAN","CONTEXT_ONLY","06P_MATCHED_NULL_MORAN_CONTEXT_ONLY_BH",22,22,"GSM8500541_Cap.area8_LN_V2","macrophage_rich",0.000999000999000999,0.00183150183150183,"EVALUABLE",""
"MATCHED_NULL_MORAN","CONTEXT_ONLY","06P_MATCHED_NULL_MORAN_CONTEXT_ONLY_BH",22,22,"GSM8500541_Cap.area8_LN_V2","t_cell_inflamed",0.000999000999000999,0.00183150183150183,"EVALUABLE",""
