normalized_program_name,historical_program_name,gene_symbol,membership_index,source_workbook,source_sheet,source_excel_row
Immune-cold / exclusion-associated program,Immune-cold / excluded niche,TGFB1,1,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,114
Immune-cold / exclusion-associated program,Immune-cold / excluded niche,TGFB2,2,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,115
Immune-cold / exclusion-associated program,Immune-cold / excluded niche,TGFBR1,3,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,116
Immune-cold / exclusion-associated program,Immune-cold / excluded niche,TGFBR2,4,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,117
Immune-cold / exclusion-associated program,Immune-cold / excluded niche,SMAD3,5,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,118
Immune-cold / exclusion-associated program,Immune-cold / excluded niche,VEGFA,6,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,119
Immune-cold / exclusion-associated program,Immune-cold / excluded niche,CA9,7,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,120
Immune-cold / exclusion-associated program,Immune-cold / excluded niche,HIF1A,8,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,121
Immune-cold / exclusion-associated program,Immune-cold / excluded niche,LOX,9,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,122
Immune-cold / exclusion-associated program,Immune-cold / excluded niche,CXCL12,10,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,123
